INFO:2025-10-30 14:25:00,945:Starting HSC computation pipeline...
INFO:2025-10-30 14:25:42,575:Processing A0A0B4J1X8 with model AF-A0A0B4J1X8-F1-model_v4.pdb
ERROR:2025-10-30 14:25:42,614:No valid CDS found for A0A0B4J1X8
INFO:2025-10-30 14:25:42,614:Processing A0A0B4J1Y8 with model AF-A0A0B4J1Y8-F1-model_v4.pdb
ERROR:2025-10-30 14:25:42,633:No transcript record found for A0A0B4J1Y8 in gnomAD.
INFO:2025-10-30 14:25:42,634:Processing A0A0B4J1Y9 with model AF-A0A0B4J1Y9-F1-model_v4.pdb
ERROR:2025-10-30 14:25:42,648:No valid CDS found for A0A0B4J1Y9
INFO:2025-10-30 14:25:42,648:Processing A0A0B4J1Z2 with model AF-A0A0B4J1Z2-F1-model_v4.pdb
ERROR:2025-10-30 14:25:42,678:No valid CDS found for A0A0B4J1Z2
INFO:2025-10-30 14:25:42,678:Processing A0A0B4J200 with model AF-A0A0B4J200-F1-model_v4.pdb
ERROR:2025-10-30 14:25:42,697:No valid CDS found for A0A0B4J200
INFO:2025-10-30 14:25:42,698:Processing A0A0B4J234 with model AF-A0A0B4J234-F1-model_v4.pdb
ERROR:2025-10-30 14:25:42,710:No valid CDS found for A0A0B4J234
INFO:2025-10-30 14:25:42,710:Processing A0A0B4J235 with model AF-A0A0B4J235-F1-model_v4.pdb
ERROR:2025-10-30 14:25:42,746:No valid CDS found for A0A0B4J235
INFO:2025-10-30 14:25:42,746:Processing A0A0B4J237 with model AF-A0A0B4J237-F1-model_v4.pdb
ERROR:2025-10-30 14:25:42,772:No valid CDS found for A0A0B4J237
INFO:2025-10-30 14:25:42,772:Processing A0A0B4J238 with model AF-A0A0B4J238-F1-model_v4.pdb
ERROR:2025-10-30 14:25:42,804:No valid CDS found for A0A0B4J238
INFO:2025-10-30 14:25:42,804:Processing A0A0B4J240 with model AF-A0A0B4J240-F1-model_v4.pdb
ERROR:2025-10-30 14:25:42,835:No valid CDS found for A0A0B4J240
INFO:2025-10-30 14:25:42,835:Processing A0A0B4J241 with model AF-A0A0B4J241-F1-model_v4.pdb
ERROR:2025-10-30 14:25:42,848:No valid CDS found for A0A0B4J241
INFO:2025-10-30 14:25:42,848:Processing A0A0B4J244 with model AF-A0A0B4J244-F1-model_v4.pdb
ERROR:2025-10-30 14:25:42,882:No valid CDS found for A0A0B4J244
INFO:2025-10-30 14:25:42,882:Processing A0A0B4J245 with model AF-A0A0B4J245-F1-model_v4.pdb
ERROR:2025-10-30 14:25:42,920:No valid CDS found for A0A0B4J245
INFO:2025-10-30 14:25:42,920:Processing A0A0B4J248 with model AF-A0A0B4J248-F1-model_v4.pdb
ERROR:2025-10-30 14:25:42,947:No valid CDS found for A0A0B4J248
INFO:2025-10-30 14:25:42,948:Processing A0A0B4J249 with model AF-A0A0B4J249-F1-model_v4.pdb
ERROR:2025-10-30 14:25:42,978:No valid CDS found for A0A0B4J249
INFO:2025-10-30 14:25:42,978:Processing A0A0B4J262 with model AF-A0A0B4J262-F1-model_v4.pdb
ERROR:2025-10-30 14:25:43,006:No valid CDS found for A0A0B4J262
INFO:2025-10-30 14:25:43,006:Processing A0A0B4J263 with model AF-A0A0B4J263-F1-model_v4.pdb
ERROR:2025-10-30 14:25:43,038:No valid CDS found for A0A0B4J263
INFO:2025-10-30 14:25:43,038:Processing A0A0B4J264 with model AF-A0A0B4J264-F1-model_v4.pdb
ERROR:2025-10-30 14:25:43,064:No valid CDS found for A0A0B4J264
INFO:2025-10-30 14:25:43,064:Processing A0A0B4J265 with model AF-A0A0B4J265-F1-model_v4.pdb
ERROR:2025-10-30 14:25:43,297:No valid CDS found for A0A0B4J265
INFO:2025-10-30 14:25:43,297:Processing A0A0B4J266 with model AF-A0A0B4J266-F1-model_v4.pdb
ERROR:2025-10-30 14:25:43,329:No valid CDS found for A0A0B4J266
INFO:2025-10-30 14:25:43,330:Processing A0A0B4J268 with model AF-A0A0B4J268-F1-model_v4.pdb
ERROR:2025-10-30 14:25:43,367:No valid CDS found for A0A0B4J268
INFO:2025-10-30 14:25:43,367:Processing A0A0B4J271 with model AF-A0A0B4J271-F1-model_v4.pdb
ERROR:2025-10-30 14:25:43,409:No valid CDS found for A0A0B4J271
INFO:2025-10-30 14:25:43,409:Processing A0A0B4J272 with model AF-A0A0B4J272-F1-model_v4.pdb
ERROR:2025-10-30 14:25:43,442:No valid CDS found for A0A0B4J272
INFO:2025-10-30 14:25:43,442:Processing A0A0B4J273 with model AF-A0A0B4J273-F1-model_v4.pdb
ERROR:2025-10-30 14:25:43,476:No valid CDS found for A0A0B4J273
INFO:2025-10-30 14:25:43,476:Processing A0A0B4J274 with model AF-A0A0B4J274-F1-model_v4.pdb
ERROR:2025-10-30 14:25:43,626:No valid CDS found for A0A0B4J274
INFO:2025-10-30 14:25:43,626:Processing A0A0B4J275 with model AF-A0A0B4J275-F1-model_v4.pdb
ERROR:2025-10-30 14:25:43,662:No valid CDS found for A0A0B4J275
INFO:2025-10-30 14:25:43,662:Processing A0A0B4J276 with model AF-A0A0B4J276-F1-model_v4.pdb
ERROR:2025-10-30 14:25:43,676:No valid CDS found for A0A0B4J276
INFO:2025-10-30 14:25:43,676:Processing A0A0B4J277 with model AF-A0A0B4J277-F1-model_v4.pdb
ERROR:2025-10-30 14:25:43,699:No valid CDS found for A0A0B4J277
INFO:2025-10-30 14:25:43,699:Processing A0A0B4J279 with model AF-A0A0B4J279-F1-model_v4.pdb
ERROR:2025-10-30 14:25:43,725:No valid CDS found for A0A0B4J279
INFO:2025-10-30 14:25:43,725:Processing A0A0B4J280 with model AF-A0A0B4J280-F1-model_v4.pdb
ERROR:2025-10-30 14:25:43,752:No valid CDS found for A0A0B4J280
INFO:2025-10-30 14:25:43,752:Processing A0A0B4J2A2 with model AF-A0A0B4J2A2-F1-model_v4.pdb
ERROR:2025-10-30 14:25:43,796:No transcript record found for A0A0B4J2A2 in gnomAD.
INFO:2025-10-30 14:25:43,796:Processing A0A0B4J2B6 with model AF-A0A0B4J2B6-F1-model_v4.pdb
ERROR:2025-10-30 14:25:43,828:No valid CDS found for A0A0B4J2B6
INFO:2025-10-30 14:25:43,828:Processing A0A0B4J2B8 with model AF-A0A0B4J2B8-F1-model_v4.pdb
ERROR:2025-10-30 14:25:43,867:No valid CDS found for A0A0B4J2B8
INFO:2025-10-30 14:25:43,867:Processing A0A0B4J2D5 with model AF-A0A0B4J2D5-F1-model_v4.pdb
ERROR:2025-10-30 14:25:43,912:No ENST transcript IDs were mapped to A0A0B4J2D5
INFO:2025-10-30 14:25:43,912:Processing A0A0B4J2D9 with model AF-A0A0B4J2D9-F1-model_v4.pdb
ERROR:2025-10-30 14:25:43,944:No valid CDS found for A0A0B4J2D9
INFO:2025-10-30 14:25:43,944:Processing A0A0B4J2E0 with model AF-A0A0B4J2E0-F1-model_v4.pdb
ERROR:2025-10-30 14:25:43,984:No valid CDS found for A0A0B4J2E0
INFO:2025-10-30 14:25:43,984:Processing A0A0B4J2E5 with model AF-A0A0B4J2E5-F1-model_v4.pdb
ERROR:2025-10-30 14:25:44,095:No ENST transcript IDs were mapped to A0A0B4J2E5
